i,n,st,rto,r,rnew,censusregions,in,country,custreg
422,p173,COA_DGO_NLE,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
423,p174,SLP,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
424,p175,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
425,p176,SLP,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
426,p177,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
427,p178,AGU_GUA_JAL_NAY_QUE_ZAC,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
428,p179,AGU_GUA_JAL_NAY_QUE_ZAC,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
429,p180,AGU_GUA_JAL_NAY_QUE_ZAC,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
430,p181,SLP,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
431,p182,AGU_GUA_JAL_NAY_QUE_ZAC,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
432,p183,COL,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
433,p184,GRO_MIC,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
434,p185,GRO_MIC,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
435,p186,AGU_GUA_JAL_NAY_QUE_ZAC,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
436,p187,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
437,p188,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
438,p189,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
439,p190,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
440,p191,GRO_MIC,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
441,p192,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
442,p193,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
443,p194,CAM_CHP_TAB,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
444,p195,CAM_CHP_TAB,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
445,p196,DIF_HID_MEX_MOR_OAX_PUE_TAM_TLA_VER,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
446,p197,CAM_CHP_TAB,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
447,p198,YUC,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
448,p199,ROO,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
449,p200,ROO,rto40,nr15,nr27new,MEX,mexico,MEX,Mexico
450,p201,BCN,rto41,nr15,nr27new,MEX,mexico,MEX,Mexico
451,p202,BCN,rto41,nr15,nr27new,MEX,mexico,MEX,Mexico
452,p203,BCN,rto41,nr15,nr27new,MEX,mexico,MEX,Mexico
453,p204,BCN,rto41,nr15,nr27new,MEX,mexico,MEX,Mexico
454,p205,BCS,rto41,nr15,nr27new,MEX,mexico,MEX,Mexico
